TimeSlice	Time	L RG ext IN	L RG flx IN	L RG ext	L RG flx	R RG ext IN	R RG flx IN	R RG ext	R RG flx	L c1	R c1	L V3	R V3
0	0	-0.0595489	-0.0595489	-0.052453	-0.0528447	-0.0595489	-0.0595489	-0.0528447	-0.052453	-0.0595489	-0.0595489	-0.0595489	-0.0595489
1	0.0002	-0.0591157	-0.0591404	-0.0523455	-0.0531522	-0.0591387	-0.0591174	-0.0531112	-0.052388	-0.0591404	-0.0591174	-0.0591174	-0.0591404
2	0.0004	-0.0587015	-0.0587744	-0.0522659	-0.0535069	-0.0587672	-0.0587087	-0.0533891	-0.0523874	-0.0587744	-0.0587087	-0.0587062	-0.058772
3	0.0006	-0.0583073	-0.0584503	-0.0522107	-0.0539009	-0.0584322	-0.0583253	-0.0536762	-0.0524419	-0.0584503	-0.0583253	-0.0583161	-0.0584414
4	0.0008	-0.0579335	-0.0581672	-0.0521766	-0.0543262	-0.0581316	-0.0579686	-0.0539701	-0.0525423	-0.0581672	-0.0579686	-0.0579473	-0.0581463
5	0.001	-0.0575803	-0.0579238	-0.0521604	-0.0547754	-0.0578635	-0.0576394	-0.0542686	-0.0526801	-0.0579238	-0.0576394	-0.0575996	-0.0578845
6	0.0012	-0.0572476	-0.0577185	-0.0521592	-0.0552412	-0.0576257	-0.0573378	-0.0545695	-0.052847	-0.0577185	-0.0573378	-0.0572728	-0.0576538
7	0.0014	-0.056935	-0.0575495	-0.0521701	-0.0557169	-0.0574164	-0.0570633	-0.0548708	-0.0530358	-0.0575495	-0.0570633	-0.0569664	-0.0574523
8	0.0016	-0.0566421	-0.057415	-0.0521907	-0.0561965	-0.0572338	-0.0568152	-0.0551709	-0.0532397	-0.057415	-0.0568152	-0.0566798	-0.0572779
9	0.0018	-0.056368	-0.057313	-0.0522186	-0.0566748	-0.057076	-0.0565923	-0.0554681	-0.0534529	-0.057313	-0.0565923	-0.0564121	-0.0571288
10	0.002	-0.0561122	-0.0572414	-0.0522516	-0.0571472	-0.0569413	-0.0563934	-0.0557609	-0.0536701	-0.0572414	-0.0563934	-0.0561625	-0.0570032
11	0.0022	-0.0558736	-0.0571983	-0.0522878	-0.05761	-0.0568281	-0.056217	-0.0560483	-0.053887	-0.0571983	-0.056217	-0.0559301	-0.0568994
12	0.0024	-0.0556515	-0.0571816	-0.0523255	-0.0580601	-0.0567349	-0.0560616	-0.0563291	-0.0540998	-0.0571816	-0.0560616	-0.0557139	-0.0568158
13	0.0026	-0.0554449	-0.0571895	-0.0523632	-0.0584949	-0.0566601	-0.0559254	-0.0566025	-0.0543054	-0.0571895	-0.0559254	-0.055513	-0.0567509
14	0.0028	-0.0552527	-0.0572199	-0.0523995	-0.0589127	-0.0566024	-0.0558069	-0.0568679	-0.0545012	-0.0572199	-0.0558069	-0.0553263	-0.0567033
15	0.003	-0.0550742	-0.0572712	-0.0524333	-0.059312	-0.0565605	-0.0557045	-0.0571246	-0.054685	-0.0572712	-0.0557045	-0.0551529	-0.0566716
16	0.0032	-0.0549082	-0.0573415	-0.0524635	-0.059692	-0.0565331	-0.0556166	-0.0573724	-0.0548553	-0.0573415	-0.0556166	-0.0549918	-0.0566546
17	0.0034	-0.054754	-0.0574293	-0.0524893	-0.0600521	-0.0565191	-0.0555417	-0.0576109	-0.0550108	-0.0574293	-0.0555417	-0.0548419	-0.056651
18	0.0036	-0.0546104	-0.0575301	-0.0525099	-0.0603923	-0.0565173	-0.0554782	-0.0578399	-0.0551505	-0.0575301	-0.0554782	-0.0547025	-0.0566598
19	0.0038	-0.0544768	-0.0576269	-0.0525248	-0.0607125	-0.0565268	-0.0554247	-0.0580595	-0.055274	-0.0576269	-0.0554247	-0.0545726	-0.0566798
20	0.004	-0.0543522	-0.05772	-0.0525345	-0.0610132	-0.0565466	-0.0553799	-0.0582696	-0.0553821	-0.05772	-0.0553799	-0.0544514	-0.0567102
21	0.0042	-0.0542358	-0.0578094	-0.0525394	-0.0612948	-0.0565757	-0.0553426	-0.0584702	-0.0554759	-0.0578094	-0.0553426	-0.054338	-0.0567501
22	0.0044	-0.0541269	-0.0578953	-0.0525398	-0.0615579	-0.0566134	-0.0553117	-0.0586616	-0.0555561	-0.0578953	-0.0553117	-0.0542318	-0.0567985
23	0.0046	-0.054025	-0.0579778	-0.0525362	-0.0618034	-0.0566588	-0.0552862	-0.058844	-0.0556235	-0.0579778	-0.0552862	-0.0541322	-0.0568547
24	0.0048	-0.0539294	-0.0580571	-0.0525288	-0.062032	-0.0567112	-0.0552651	-0.0590174	-0.0556789	-0.0580571	-0.0552651	-0.0540385	-0.0569179
25	0.005	-0.0538396	-0.0581333	-0.0525179	-0.0622445	-0.0567699	-0.0552477	-0.0591823	-0.055723	-0.0581333	-0.0552477	-0.0539503	-0.0569874
